age,league,season,full_name,Position_NEW,Current Club,nationality,player_year_key,minutes_played_overall,appearances_overall,penalty_goals,penalty_misses,clean_sheets_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_away,conceded_per_90_overall,cards_per_90_overall,passes_per_90_overall,passes_completed_per_90_overall,tackles_per_90_overall,shots_per_90_overall,shots_on_target_per_90_overall,shots_off_target_per_90_overall,interceptions_per_90_overall,key_passes_per_90_overall,dribbles_per_90_overall,dribbles_successful_per_90_overall,saves_per_90_overall,shots_faced_per_90_overall,dribbled_past_per_90_overall,blocks_per_90_overall,clearances_per_90_overall,hit_woodwork_per_90_overall,punches_per_90_overall,offsides_per_90_overall,xa_per_90_overall,npxg_per_90_overall,fouls_drawn_per_90_overall,fouls_committed_per_90_overall,xg_per_90_overall,aerial_duels_won_per_90_overall,duels_per_90_overall,duels_won_per_90_overall,dispossesed_per_90_overall,accurate_crosses_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,average_rating_overall,crosses_per_game_overall,dispossesed_per_game_overall,saves_per_game_overall,shots_per_goal_scored_overall,shots_off_target_per_game_overall,dribbles_successful_percentage_overall,save_percentage_overall,pass_completion_rate_overall,shot_accuraccy_percentage_overall,inside_box_saves_total_overall,penalties_won_total_overall,shot_conversion_rate_overall,duels_won_per_game_overall,duels_won_percentage_overall,cross_completion_rate_overall,hattricks_total_overall,two_goals_in_a_game_total_overall,three_goals_in_a_game_total_overall,annual_salary_eur,market_value_in_eur (m),Predicted Market Value,Prediction Difference,Under / Over
33,Premier League,2021/2022,Aaron Cresswell,Central Midfielders,West Ham United,England,aaron-cresswell-2021/2022,2728.0,31.0,0.0,0.0,7.0,0.16,0.1,0.07,0.07,1.12,0.1,56.32,46.52,0.96,0.36,0.13,0.23,1.15,1.02,0.56,0.26,0.0,0.0,0.4,0.59,2.11,0.0,0.0,0.07,0.21,0.05,0.33,0.46,0.05,1.06,4.65,2.61,0.13,1.12,213.0,144.0,69.0,7.0,7.05,4.68,0.13,0.0,5.5,0.23,47.06,0.0,82.6,36.36,0.0,0.0,18.18,2.55,56.03,23.45,0.0,0.0,0.0,0.0,2.75,6.5270863,-3.7770862579345703,Undervalued
34,Premier League,2022/2023,Aaron Cresswell,Central Midfielders,West Ham United,England,aaron-cresswell-2022/2023,2235.0,28.0,0.0,0.0,8.0,0.04,0.04,0.0,0.0,1.25,0.12,44.21,36.2,0.85,0.12,0.04,0.08,1.05,1.53,0.2,0.08,0.0,0.0,0.72,0.4,2.05,0.0,0.0,0.08,0.15,0.0,0.32,0.36,0.0,1.17,4.91,2.42,0.28,1.57,403.0,226.0,78.0,17.0,6.63,4.61,0.25,0.0,0.0,0.07,40.0,0.0,81.88,33.33,0.0,0.0,0.0,2.14,49.18,30.23,0.0,0.0,0.0,0.0,1.05,3.0044453,-1.9544453144073486,Undervalued
21,Premier League,2022/2023,Aaron Hickey,Young High Performers,Brentford,Scotland,aaron-hickey-2022/2023,1930.0,25.0,0.0,0.0,6.0,0.05,0.05,0.0,0.0,1.35,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,211.0,97.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.33,18.448814,9.881185607910155,Overvalued
21,Serie A,2020/2021,Aaron Hickey,Young High Performers,Bologna,Scotland,aaron-hickey-2020/2021,763.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.77,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,294.0,153.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.67,4.979559,3.6904410552978515,Overvalued
21,Serie A,2021/2022,Aaron Hickey,Young High Performers,Bologna,Scotland,aaron-hickey-2021/2022,2835.0,36.0,0.0,0.0,12.0,0.19,0.03,0.16,0.06,1.27,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,268.0,79.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,25.069717,-8.069717407226562,Undervalued
36,Premier League,2021/2022,Aaron Lennon,Defensive Midfielders / Wing Backs,Burnley,England,aaron-lennon-2021/2022,1548.0,28.0,0.0,0.0,9.0,0.12,0.0,0.12,0.25,1.34,0.12,19.11,13.97,1.88,0.46,0.23,0.23,0.46,0.51,1.71,0.74,0.0,0.0,1.37,0.23,0.46,0.0,0.0,0.23,0.04,0.08,1.14,1.08,0.08,0.4,9.47,4.16,0.74,0.17,155.0,288.0,-1.0,5.0,6.36,1.43,0.46,0.0,4.0,0.14,43.33,0.0,73.13,50.0,0.0,0.0,25.0,2.61,43.98,7.5,0.0,0.0,0.0,0.0,0.8,1.1801836,-0.3801836490631103,Undervalued
35,Eredivisie,2021/2022,Aaron Meijers,Central Midfielders,Sparta Rotterdam,Netherlands,aaron-meijers-2021/2022,740.0,12.0,0.0,0.0,3.0,0.24,0.24,0.0,0.0,1.34,0.36,34.18,23.59,2.43,0.36,0.0,0.36,0.49,1.09,0.73,0.24,0.0,0.0,1.22,0.12,3.41,0.0,0.0,0.0,0.23,0.01,1.58,0.36,0.01,1.46,9.85,5.59,0.61,0.97,253.0,41.0,76.0,17.0,6.78,2.58,0.42,0.0,0.0,0.25,33.33,0.0,69.04,0.0,0.0,0.0,0.0,3.83,56.79,25.81,0.0,0.0,0.0,0.0,0.25,-1.162421,1.4124209880828857,Overvalued
36,Eredivisie,2022/2023,Aaron Meijers,Central Midfielders,Sparta Rotterdam,Netherlands,aaron-meijers-2022/2023,566.0,16.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.95,0.0,52.97,40.88,3.67,0.18,0.18,0.0,0.73,1.1,0.73,0.37,0.0,0.0,1.83,0.37,2.93,0.0,0.0,0.0,0.14,0.01,2.02,1.1,0.01,2.2,13.75,8.25,0.37,0.55,311.0,290.0,28.0,21.0,5.84,1.44,0.12,0.0,0.0,0.0,50.0,0.0,77.16,100.0,0.0,0.0,0.0,2.81,60.0,13.04,0.0,0.0,0.0,149672.0,0.2,-1.0791854,1.2791853666305542,Overvalued
25,Premier League,2021/2022,Aaron Ramsdale,Goalkeepers,Arsenal,England,aaron-ramsdale-2021/2022,3060.0,34.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.06,0.03,29.71,18.59,0.06,0.0,0.0,0.0,0.0,0.0,0.03,0.03,2.65,3.79,0.03,0.0,1.12,0.0,0.35,0.0,0.04,0.0,0.15,0.0,0.0,0.21,0.5,0.41,0.0,0.0,282.0,293.0,63.0,21.0,6.94,0.0,0.0,2.65,0.0,0.0,100.0,69.77,62.57,0.0,49.0,0.0,0.0,0.41,82.35,0.0,0.0,0.0,0.0,0.0,29.0,28.536728,0.4632720947265625,Overvalued
25,Premier League,2022/2023,Aaron Ramsdale,Goalkeepers,Arsenal,England,aaron-ramsdale-2022/2023,3420.0,38.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,1.08,0.03,24.58,15.74,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.03,2.45,3.58,0.0,0.0,0.89,0.0,0.37,0.0,0.03,0.0,0.11,0.0,0.0,0.18,0.34,0.32,0.0,0.0,358.0,356.0,41.0,22.0,6.88,0.0,0.0,2.45,0.0,0.0,100.0,68.38,64.03,0.0,71.0,0.0,0.0,0.32,92.31,0.0,0.0,0.0,0.0,3584072.0,34.5,33.586365,0.91363525390625,Overvalued
